os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,os_numero
2959,ROSANGELA,Não,18,OS_ENTREGUES_DIA,23,"[2959, 'ROSANGELA', 'Não']",2023-08-23 00:00:00,,rio_pequeno,ago_23.xlsx,2959
2979,BRUNO,Sim,15,OS_ENTREGUES_DIA,24,"[2979, 'BRUNO', 'Sim']",2023-08-24 00:00:00,,rio_pequeno,ago_23.xlsx,2979
2963,BRUNO,Não,15,OS_ENTREGUES_DIA,25,"[2963, 'BRUNO', 'Não']",2023-08-25 00:00:00,,rio_pequeno,ago_23.xlsx,2963
2960,BRUNO,Não,15,OS_ENTREGUES_DIA,26,"[2960, 'BRUNO', 'Não']",2023-08-26 00:00:00,,rio_pequeno,ago_23.xlsx,2960
2955,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,28,"[2955, 'ROSÂNGELA', 'Não']",2023-08-28 00:00:00,,rio_pequeno,ago_23.xlsx,2955
3002,BRUNO,Não,15,OS_ENTREGUES_DIA,29,"[3002, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,3002
3000,BRUNO,Não,16,OS_ENTREGUES_DIA,29,"[3000, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,3000
3008,BRUNO,Não,17,OS_ENTREGUES_DIA,29,"[3008, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,3008
2995,BRUNO,Não,18,OS_ENTREGUES_DIA,29,"[2995, 'BRUNO', 'Não']",2023-08-29 00:00:00,,rio_pequeno,ago_23.xlsx,2995
2966,BRUNO,Não,15,OS_ENTREGUES_DIA,30,"[2966, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,2966
2991,BRUNO,Não,16,OS_ENTREGUES_DIA,30,"[2991, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,2991
3014,BRUNO,Não,17,OS_ENTREGUES_DIA,30,"[3014, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,3014
2990,BRUNO,Não,18,OS_ENTREGUES_DIA,30,"[2990, 'BRUNO', 'Não']",2023-08-30 00:00:00,,rio_pequeno,ago_23.xlsx,2990
2984,BRUNO,Sim,15,OS_ENTREGUES_DIA,31,"[2984, 'BRUNO', 'Sim']",2023-08-31 00:00:00,,rio_pequeno,ago_23.xlsx,2984
3004,BRUNO,Não,16,OS_ENTREGUES_DIA,31,"[3004, 'BRUNO', 'Não']",2023-08-31 00:00:00,,rio_pequeno,ago_23.xlsx,3004
3651,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,2,"[3651, 'ROGÉRIO', 'Não']",2024-08-02 00:00:00,,rio_pequeno,ago_24.xlsx,3651
3652,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,2,"[3652, 'ROSÂNGELA', 'Não']",2024-08-02 00:00:00,,rio_pequeno,ago_24.xlsx,3652
3638,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,2,"[3638, 'ROSÂNGELA', 'Não']",2024-08-02 00:00:00,,rio_pequeno,ago_24.xlsx,3638
3666,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,3,"[3666, 'ROSÂNGELA', 'Não']",2024-08-03 00:00:00,,rio_pequeno,ago_24.xlsx,3666
3644,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,3,"[3644, 'ROGÉRIO', 'Não']",2024-08-03 00:00:00,,rio_pequeno,ago_24.xlsx,3644
3646,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,6,"[3646, 'ROSÂNGELA', 'Não']",2024-08-06 00:00:00,,rio_pequeno,ago_24.xlsx,3646
3645,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,6,"[3645, 'ROSÂNGELA', 'Não']",2024-08-06 00:00:00,,rio_pequeno,ago_24.xlsx,3645
3600,ROSÂNGELA,Não,15,OS_ENTREGUES_DIA,7,"[3600, 'ROSÂNGELA', 'Não']",2024-08-07 00:00:00,,rio_pequeno,ago_24.xlsx,3600
3653,ROSÂNGELA,Não,16,OS_ENTREGUES_DIA,7,"[3653, 'ROSÂNGELA', 'Não']",2024-08-07 00:00:00,,rio_pequeno,ago_24.xlsx,3653
3642,ROGÉRIO,Não,17,OS_ENTREGUES_DIA,7,"[3642, 'ROGÉRIO', 'Não']",2024-08-07 00:00:00,,rio_pequeno,ago_24.xlsx,3642
3670,ROGÉRIO,Não,18,OS_ENTREGUES_DIA,7,"[3670, 'ROGÉRIO', 'Não']",2024-08-07 00:00:00,,rio_pequeno,ago_24.xlsx,3670
3669,ROGÉRIO,Não,19,OS_ENTREGUES_DIA,7,"[3669, 'ROGÉRIO', 'Não']",2024-08-07 00:00:00,,rio_pequeno,ago_24.xlsx,3669
3656,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,8,"[3656, 'ROGÉRIO', 'Não']",2024-08-08 00:00:00,,rio_pequeno,ago_24.xlsx,3656
3655,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,8,"[3655, 'ROGÉRIO', 'Não']",2024-08-08 00:00:00,,rio_pequeno,ago_24.xlsx,3655
3654,ROGÉRIO,Não,17,OS_ENTREGUES_DIA,8,"[3654, 'ROGÉRIO', 'Não']",2024-08-08 00:00:00,,rio_pequeno,ago_24.xlsx,3654
3662,ROSÂNGELA,Não,18,OS_ENTREGUES_DIA,8,"[3662, 'ROSÂNGELA', 'Não']",2024-08-08 00:00:00,,rio_pequeno,ago_24.xlsx,3662
3660,ROSÂNGELA,Não,19,OS_ENTREGUES_DIA,8,"[3660, 'ROSÂNGELA', 'Não']",2024-08-08 00:00:00,,rio_pequeno,ago_24.xlsx,3660
3663,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,9,"[3663, 'ROGÉRIO', 'Não']",2024-08-09 00:00:00,,rio_pequeno,ago_24.xlsx,3663
3637,ROSÂNGELA,Sim,16,OS_ENTREGUES_DIA,9,"[3637, 'ROSÂNGELA', 'Sim']",2024-08-09 00:00:00,,rio_pequeno,ago_24.xlsx,3637
3671,ROSÂNGELA,Não,17,OS_ENTREGUES_DIA,9,"[3671, 'ROSÂNGELA', 'Não']",2024-08-09 00:00:00,,rio_pequeno,ago_24.xlsx,3671
3688,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,10,"[3688, 'ROGÉRIO', 'Não']",2024-08-10 00:00:00,,rio_pequeno,ago_24.xlsx,3688
3649,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,10,"[3649, 'ROGÉRIO', 'Não']",2024-08-10 00:00:00,,rio_pequeno,ago_24.xlsx,3649
3664,ROGÉRIO,Não,17,OS_ENTREGUES_DIA,10,"[3664, 'ROGÉRIO', 'Não']",2024-08-10 00:00:00,,rio_pequeno,ago_24.xlsx,3664
3676,ROGÉRIO,Não,15,OS_ENTREGUES_DIA,12,"[3676, 'ROGÉRIO', 'Não']",2024-08-12 00:00:00,,rio_pequeno,ago_24.xlsx,3676
3687,ROGÉRIO,Não,16,OS_ENTREGUES_DIA,12,"[3687, 'ROGÉRIO', 'Não']",2024-08-12 00:00:00,,rio_pequeno,ago_24.xlsx,3687
3681,ROGÉRIO,Não,17,OS_ENTREGUES_DIA,12,"[3681, 'ROGÉRIO', 'Não']",2024-08-12 00:00:00,,rio_pequeno,ago_24.xlsx,3681
3692,ROGÉRIO,Não,18,OS_ENTREGUES_DIA,12,"[3692, 'ROGÉRIO', 'Não']",2024-08-12 00:00:00,,rio_pequeno,ago_24.xlsx,3692
